structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,brain,reg_num,top_level,region_clean
9067,9,139379790,CX,VTA,"ventral tegmental area, left",111938261,101,119,109,-10,-18,-10,14380,9067,VTA_SN,"ventral tegmental area, left"
4395,9,139379758,CX,DTA,"anterior group of nuclei, left",113819473,102,85,109,-11,-18,24,14380,12920,THAL,anterior group of nuclei
4395,9,139379741,CX,DTA,"anterior group of nuclei, left",112147755,101,85,109,-10,-18,24,14380,12920,THAL,anterior group of nuclei
9075,9,139379723,CX,SNR,"substantia nigra, pars reticulata, left",111938262,105,116,109,-14,-18,-7,14380,9072,VTA_SN,substantia nigra
4432,9,139379844,CX,ILr,"rostral group of intralaminar nuclei, left",113905403,103,92,109,-12,-18,17,14380,12929,THAL,rostral group of intralaminar nuclei
4417,9,139379828,CX,DTLv,"lateral group of nuclei, left, ventral division",113819189,107,102,109,-16,-18,7,14380,12925,THAL,"lateral group of nuclei, ventral division"
4282,9,139379739,CX,BCd,"body of caudate nucleus, left",112155004,110,86,109,-19,-18,23,14380,12899,STR,body of the caudate nucleus
4281,11,139379826,CX,TCd,"tail of caudate nucleus, left",113072995,126,100,129,-35,-38,9,14380,12901,STR,tail of the caudate nucleus
4256,11,139379770,CX,CA3,"CA3 field, left",113328411,116,104,129,-25,-38,5,14380,12894,HIPP,CA3 field
4255,11,139379754,CX,CA2,"CA2 field, left",112522348,120,101,129,-29,-38,8,14380,12893,HIPP,CA2 field
4254,11,139379737,CX,CA1,"CA1 field, left",113380929,119,108,129,-28,-38,1,14380,12892,HIPP,CA1 field
4251,11,139379717,CX,S,"subiculum, left",113380930,110,108,129,-19,-38,1,14380,12896,HIPP,subiculum
4593,8,127687963,CX,SO,"supraoptic nucleus, left",112456369,110,117,98,-19,-7,-8,14380,12907,HYPO,supraoptic nucleus
4288,8,127687851,CX,Pu,"putamen, left",112718106,123,113,98,-32,-7,-4,14380,4287,STR,putamen
4215,13,141667089,CX,SOG-i,"superior occipital gyrus, left, inferior bank of gyrus",127562730,141,88,171,-50,-80,21,15496,4212,CTX,superior occipital gyrus
4237,11,141667177,CX,CgGr-s,"cingulate gyrus, retrosplenial part, left, superior bank of gyrus",127512019,109,111,144,-18,-53,-2,15496,4235,CTX,"cingulate gyrus, retrosplenial part"
4090,9,141667207,CX,PoG-pcs,"postcentral gyrus, left, bank of the posterior central sulcus",127050458,138,59,118,-47,-27,50,15496,4085,CTX,postcentral gyrus
4107,9,139409861,CX,SMG-i,"supramarginal gyrus, left, inferior bank of gyrus",127050410,159,79,119,-68,-28,30,15496,4104,CTX,supramarginal gyrus
4106,9,139409845,CX,SMG-s,"supramarginal gyrus, left, superior bank of gyrus",127050409,149,64,119,-58,-28,45,15496,4104,CTX,supramarginal gyrus
4149,7,139409841,CX,ITG-its,"inferior temporal gyrus, left, bank of the its",126525177,125,147,93,-34,-2,-38,15496,4147,CTX,inferior temporal gyrus
4142,7,139409825,CX,MTG-s,"middle temporal gyrus, left, superior bank of gyrus",126703433,154,126,94,-63,-3,-17,15496,4140,CTX,middle temporal gyrus
4224,5,127687007,CX,CgGf-i,"cingulate gyrus, frontal part, left, inferior bank of gyrus",123644654,95,89,71,-4,20,20,15496,4221,CTX,"cingulate gyrus, frontal part"
4178,5,127687057,CX,PLP,"planum polare, left",123636950,143,122,74,-52,17,-13,15496,4177,CTX,planum polare
4898,2,127687001,CX,SRoG,"superior rostral gyrus, left",121081990,95,123,31,-4,60,-14,15496,4897,CTX,superior rostral gyrus
4060,2,127687065,CX,LOrG,"lateral orbital gyrus, left",121112951,128,117,32,-37,59,-8,15496,4059,CTX,lateral orbital gyrus
4194,14,141667185,CX,LiG-str,"lingual gyrus, left, striate",127563328,100,129,177,-9,-86,-20,15496,4191,CTX,lingual gyrus
4193,14,141667169,CX,LiG-pest,"lingual gyrus, left, peristriate",127563329,113,125,176,-22,-85,-16,15496,4191,CTX,lingual gyrus
4187,14,141667153,CX,Cun-str,"cuneus, left, striate",127563327,98,110,176,-7,-85,-1,15496,4184,CTX,cuneus
4186,14,141667137,CX,Cun-pest,"cuneus, left, peristriate",127563326,98,99,177,-7,-86,10,15496,4184,CTX,cuneus
4120,13,141667229,CX,Pcu-s,"precuneus, left, superior lateral bank of gyrus",127562782,93,59,166,-2,-75,50,15496,4118,CTX,precuneus
4113,13,141667103,CX,AnG-s,"angular gyrus, left, superior bank of gyrus",127562530,122,60,167,-31,-76,49,15496,4111,CTX,angular gyrus
4194,13,141667199,CX,LiG-str,"lingual gyrus, left, striate",127562687,101,107,166,-10,-75,2,15496,4191,CTX,lingual gyrus
4193,13,141667183,CX,LiG-pest,"lingual gyrus, left, peristriate",127562688,110,109,166,-19,-75,0,15496,4191,CTX,lingual gyrus
4208,13,141667263,CX,IOG-i,"inferior occipital gyrus, left, inferior bank of gyrus",127562732,144,116,170,-53,-79,-7,15496,4205,CTX,inferior occipital gyrus
4121,12,141667179,CX,Pcu-i,"precuneus, left, inferior lateral bank of gyrus",127562274,97,49,155,-6,-64,60,15496,4118,CTX,precuneus
4114,12,141667227,CX,AnG-i,"angular gyrus, left, inferior bank of gyrus",127562172,126,68,156,-35,-65,41,15496,4111,CTX,angular gyrus
4099,12,141667195,CX,SPL-i,"superior parietal lobule, left, inferior bank of gyrus",127562174,115,77,156,-24,-65,32,15496,4096,CTX,superior parietal lobule
4231,12,141667133,CX,CgGp-i,"cingulate gyrus, parietal part, left, inferior bank of gyrus",127554739,110,100,153,-19,-62,9,15496,4228,CTX,"cingulate gyrus, parietal part"
4230,12,141667117,CX,CgGp-s,"cingulate gyrus, parietal part, left, superior bank of gyrus",127554738,96,90,153,-5,-62,19,15496,4228,CTX,"cingulate gyrus, parietal part"
4201,12,141667213,CX,OTG-i,"occipito-temporal gyrus, left, inferior bank of gyrus",127562209,141,123,157,-50,-66,-14,15496,4198,CTX,occipito-temporal gyrus
4200,12,141667197,CX,OTG-s,"occipito-temporal gyrus, left, superior bank of gyrus",127562208,132,117,155,-41,-64,-8,15496,4198,CTX,occipito-temporal gyrus
4230,11,141667255,CX,CgGp-s,"cingulate gyrus, parietal part, left, superior bank of gyrus",127511917,100,63,143,-9,-52,46,15496,4228,CTX,"cingulate gyrus, parietal part"
4237,11,141667145,CX,CgGr-s,"cingulate gyrus, retrosplenial part, left, superior bank of gyrus",127512018,107,111,144,-16,-53,-2,15496,4235,CTX,"cingulate gyrus, retrosplenial part"
4231,11,141667129,CX,CgGp-i,"cingulate gyrus, parietal part, left, inferior bank of gyrus",127512016,101,75,143,-10,-52,34,15496,4228,CTX,"cingulate gyrus, parietal part"
4107,11,141667209,CX,SMG-i,"supramarginal gyrus, left, inferior bank of gyrus",127511948,149,86,146,-58,-55,23,15496,4104,CTX,supramarginal gyrus
4106,11,141667193,CX,SMG-s,"supramarginal gyrus, left, superior bank of gyrus",127511947,145,73,146,-54,-55,36,15496,4104,CTX,supramarginal gyrus
4193,11,141667131,CX,LiG-pest,"lingual gyrus, left, peristriate",127514491,117,117,145,-26,-54,-8,15496,4191,CTX,lingual gyrus
4193,11,141667083,CX,LiG-pest,"lingual gyrus, left, peristriate",127514490,115,118,145,-24,-54,-9,15496,4191,CTX,lingual gyrus
4143,8,139409907,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",127045317,150,129,106,-59,-15,-20,15496,4140,CTX,middle temporal gyrus
4136,8,139409811,CX,STG-i,"superior temporal gyrus, left, inferior bank of gyrus",127048540,157,97,107,-66,-16,12,15496,4133,CTX,superior temporal gyrus
4013,8,139409749,CX,PrG-sl,"precentral gyrus, left, superior lateral aspect of gyrus",127045208,120,41,104,-29,-13,68,15496,4010,CTX,precentral gyrus
4106,8,139409795,CX,SMG-s,"supramarginal gyrus, left, superior bank of gyrus",127048706,149,61,105,-58,-14,48,15496,4104,CTX,supramarginal gyrus
4088,8,139409779,CX,PoG-sl,"postcentral gyrus, left, superior lateral aspect of gyrus",127048705,135,45,105,-44,-14,64,15496,4085,CTX,postcentral gyrus
4143,9,139409767,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",127050503,155,122,122,-64,-31,-13,15496,4140,CTX,middle temporal gyrus
4072,9,139409799,CX,PCLa,"paracentral lobule, anterior part, left",127050746,100,69,118,-9,-27,40,15496,4071,CTX,"paracentral lobule, anterior part"
4098,10,139409847,CX,SPL-s,"superior parietal lobule, left, superior bank of gyrus",127056990,105,38,128,-14,-37,71,15496,4096,CTX,superior parietal lobule
4230,10,139409911,CX,CgGp-s,"cingulate gyrus, parietal part, left, superior bank of gyrus",127056267,95,64,127,-4,-36,45,15496,4228,CTX,"cingulate gyrus, parietal part"
4142,10,141667125,CX,MTG-s,"middle temporal gyrus, left, superior bank of gyrus",127056952,161,104,135,-70,-44,5,15496,4140,CTX,middle temporal gyrus
4136,10,139409801,CX,STG-i,"superior temporal gyrus, left, inferior bank of gyrus",127056953,155,89,134,-64,-43,20,15496,4133,CTX,superior temporal gyrus
4160,10,141667189,CX,FuG-cos,"fusiform gyrus, left, bank of cos",127056052,130,127,132,-39,-41,-18,15496,4156,CTX,fusiform gyrus
